# Time-averaged data for fix printcond
# TimeStep v_totalcondx v_totalcondy v_totalcondz
682 0.00813554 0.00496802 0.0057727
684 0.00810759 0.00498311 0.00545246
686 0.0081302 0.00497677 0.00517462
688 0.00822051 0.00494583 0.0049263
690 0.00837217 0.00488816 0.00469938
692 0.00853338 0.00480579 0.0044898
694 0.00863993 0.00470717 0.00429234
696 0.00866315 0.00460501 0.00409822
698 0.00861277 0.00451203 0.00389773
700 0.00850505 0.00443962 0.00368435
702 0.00834434 0.0043976 0.00345621
704 0.00812826 0.00439217 0.00321473
706 0.00785673 0.00442302 0.00296061
708 0.00753523 0.00448348 0.00269109
710 0.00717331 0.00456413 0.00240212
712 0.00678231 0.00465667 0.0020908
714 0.00637376 0.00475585 0.00175616
716 0.00595797 0.00485948 0.00139677
718 0.00554323 0.00496743 0.00100908
720 0.00513606 0.0050805 0.000588322
722 0.00474136 0.00519897 0.000130994
724 0.00436316 0.00532145 -0.000362006
726 0.00400491 0.00544464 -0.000884184
728 0.00367016 0.00556375 -0.00142404
730 0.00336312 0.00567337 -0.00196702
732 0.00308872 0.00576807 -0.00249805
734 0.00285171 0.00584307 -0.00300408
736 0.00265524 0.00589485 -0.0034759
738 0.00249974 0.00592178 -0.00390851
740 0.00238266 0.00592424 -0.00430058
742 0.00229918 0.00590409 -0.00465314
744 0.00224317 0.00586415 -0.00496805
746 0.00220771 0.00580798 -0.00524673
748 0.0021851 0.00574014 -0.0054894
750 0.00216636 0.00566645 -0.00569523
752 0.00214148 0.00559356 -0.00586317
754 0.00210129 0.00552802 -0.00599354
756 0.00204058 0.00547506 -0.00608959
758 0.0019601 0.0054377 -0.00615774
760 0.00186581 0.0054167 -0.00620561
762 0.00176636 0.00541101 -0.00623965
764 0.00167033 0.0054187 -0.00626422
766 0.00158491 0.00543774 -0.00628255
768 0.00151526 0.00546578 -0.00629791
770 0.00146496 0.00549936 -0.00631375
772 0.00143676 0.00553388 -0.00633263
774 0.0014331 0.00556421 -0.00635458
776 0.00145565 0.00558575 -0.00637715
778 0.00150339 0.00559636 -0.00639842
780 0.00157257 0.0055929 -0.00641734
782 0.00165921 0.00557398 -0.00643187
784 0.00176204 0.00553925 -0.00643639
786 0.00188318 0.00548813 -0.00642182
788 0.0020256 0.00541919 -0.00637974
790 0.00218855 0.00533048 -0.00630859
792 0.00236899 0.00522056 -0.00620881
794 0.00256123 0.0050901 -0.00608322
