Box size: max: 28.496098 min: 3.5039283 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Conductivity
588      0.294          1.4508404512450163e-05    0.010278450418127492    6.062823994371235
590      0.295          1.4219009457011728e-05    0.010292814125112223    6.071296538754146
592      0.296          1.3936695319828678e-05    0.010306891977500643    6.079600469578116
594      0.297          1.3661910051404303e-05    0.01032069128018626    6.087740095691445
596      0.298          1.3394743054577489e-05    0.010334219606739251    6.095719884423462
598      0.299          1.3135001234306333e-05    0.010347484478883694    6.103544272521667
600      0.3          1.2882246468077169e-05    0.010360493102734885    6.1112175105692685
602      0.301          1.2635918795121186e-05    0.010373252185366484    6.1187435547858735
604      0.302          1.2395518801846954e-05    0.01038576790416497    6.12612604895099
606      0.303          1.2160712618213805e-05    0.010398046019874999    6.133368391084698
608      0.304          1.193135535017768e-05    0.010410092053859194    6.140473838005723
610      0.305          1.1707549986589072e-05    0.010421911506527576    6.147445634173734
612      0.306          1.1489627856358334e-05    0.01043351009544905    6.154287152141262
614      0.307          1.127805909125219e-05    0.010444893938922856    6.161002000834742
616      0.308          1.1073327785271989e-05    0.010456069632361117    6.167594070609358
618      0.309          1.0875779480693809e-05    0.0104670441859941    6.174067496504006
620      0.31          1.0685476782425798e-05    0.01047782481412566    6.180426533931976
622      0.311          1.0502112139891354e-05    0.01048841860858682    6.186675366065007
624      0.312          1.0325074611084835e-05    0.010498832201962308    6.192817905184833
626      0.313          1.0153613765599597e-05    0.010509071546150649    6.198857662065133
628      0.314          9.98701097456102e-06    0.01051914185852073    6.2047977142115585
630      0.315          9.824711140103531e-06    0.010529047719578062    6.2106407634709475
632      0.316          9.666394958936552e-06    0.010538793272627581    6.216389253803969
634      0.317          9.511994641250184e-06    0.010548382467427675    6.2220455150063545
636      0.318          9.361717520813382e-06    0.010557819323508707    6.227611918029383
638      0.319          9.216056150089045e-06    0.010567108210344157    6.233091040241
640      0.32          9.075740070576868e-06    0.010576254108454492    6.238485819439975
642      0.321          8.941627443242346e-06    0.010585262792211402    6.2437996616844025
644      0.322          8.814513356515513e-06    0.010594140862611281    6.249036460623392
646      0.323          8.694956277170317e-06    0.010602895597428124    6.25420050910859
648      0.324          8.583166879150038e-06    0.010611534659006284    6.2592963268334625
650      0.325          8.47903179430864e-06    0.010620065758343015    6.264328462189768
652      0.326          8.382241554103763e-06    0.01062849639501722    6.269301338862506
654      0.327          8.292524782492272e-06    0.010636833778185518    6.2742192092288285
656      0.328          8.20983572225787e-06    0.010645084958437892    6.279086232134125
658      0.329          8.134351606390625e-06    0.010653257052102218    6.28390660519979
660      0.33          8.066338507509917e-06    0.010661357397159166    6.288684656790849
